Date,Site,Observer,Temperature,Species,Size,Grp_Size,Mixed_Grp,Start_Time,End_Time,Time,minutes ,seconds ,minutes*60,add_to_ seconds ,total_divided_by_60 ,Total_Bites ,Bites_per_minute,Trial_Time,,
29/10/2016,Macs_Reef,ECM,26,Naso_unicornis,27,2,N,10:32:15,10:34:40,0:02:25,2,25,120,145,2.416666667,42,17.37931034,2.416666667,,
29/10/2016,Macs_Reef,ECM,26,Naso_unicornis,31,3,N,10:52:00,10:54:30,0:02:30,2,30,120,150,2.5,32,12.8,2.5,,
29/10/2016,Macs_Reef,ECM,26,Naso_unicornis,28,1,N,11:02:00,11:03:00,0:01:00,1,0,60,60,1,17,17,1,,
29/10/2016,Macs_Reef,ECM,26,Naso_unicornis,28,1,N,13:37:30,13:40:30,0:03:00,3,0,180,180,3,51,17,3,,
29/10/2016,Macs_Reef,ECM,26,Naso_unicornis,26,1,N,13:22:50,13:26:50,0:04:00,4,0,240,240,4,106,26.5,4,,
29/10/2016,Macs_Reef,Zoe,26,Naso_unicornis,28,1,N,9:25:00,9:27:08,0:02:08,2,8,120,128,2.133333333,29,13.59375,2.133333333,,
29/10/2016,Macs_Reef,Zoe,26,Naso_unicornis,31,1,N,9:43:00,9:46:01,0:03:01,3,1,180,181,3.016666667,45,14.91712707,3.016666667,,
29/10/2016,Macs_Reef,Zoe,26,Naso_unicornis,27,1,N,9:48:00,9:50:53,0:02:53,2,53,120,173,2.883333333,36,12.48554913,2.883333333,,
29/10/2016,Macs_Reef,Zoe,26,Naso_unicornis,30,1,N,9:58:00,9:59:44,0:01:44,1,44,60,104,1.733333333,21,12.11538462,1.733333333,,
29/10/2016,Macs_Reef,Zoe,26,Naso_unicornis,28,1,N,10:11:00,10:12:02,0:01:02,1,2,60,62,1.033333333,9,8.709677419,1.033333333,,
